EpRewMean,entloss,EpTrueRewMean,EpisodesSoFar,TimeElapsed,TimestepsSoFar,surrgain,EpThisIter,entropy,meankl,EpLenMean,optimgain,explained_variance_tdlam_before
341.732,0.0,-655.8440803826088,160,222.9549024105072,77824,0.045778953,2,2.5120542,0.012808525,490.0,0.045778953,0.13041597604751587
337.94943,0.0,-656.0149605081417,162,226.01767206192017,78848,0.041948054,2,2.4944181,0.01227322,490.0,0.041948054,0.09636068344116211
333.37372,0.0,-656.0280872695148,165,228.54572534561157,79872,0.032506403,3,2.475158,0.010761971,490.0,0.032506403,0.10584485530853271
328.91586,0.0,-656.937574177701,167,231.11666774749756,80896,0.05047982,2,2.4885871,0.011560782,490.0,0.05047982,0.31654036045074463
329.01392,0.0,-656.9307226889766,169,233.67874264717102,81920,0.04829234,2,2.4910305,0.014151953,490.0,0.04829234,0.0449446439743042
328.8436,0.0,-657.6904539432377,171,236.20511174201965,82944,0.038415994,2,2.4967837,0.011241717,490.0,0.038415994,0.18125945329666138
331.62726,0.0,-656.551009907946,173,238.74553394317627,83968,0.03643176,2,2.4896123,0.013300831,490.0,0.03643176,0.04184669256210327
332.6494,0.0,-656.9923490533605,175,241.264062166214,84992,0.0433516,2,2.502758,0.013192347,490.0,0.0433516,0.18618953227996826
333.0164,0.0,-657.4305681104772,177,243.8224127292633,86016,0.036548525,2,2.513186,0.011558427,490.0,0.036548525,0.04689359664916992
344.79388,0.0,-654.8344338185154,179,246.368554353714,87040,0.034235775,2,2.475657,0.013606444,490.0,0.034235775,0.021618664264678955
365.44415,0.0,-652.4371212319936,181,248.89544892311096,88064,0.02469254,2,2.6343498,0.009951772,490.0,0.02469254,0.005092799663543701
383.70676,0.0,-647.951807031082,183,251.40585041046143,89088,0.016947199,2,2.6857908,0.009010011,490.0,0.016947199,-4.303455352783203e-05
400.669,0.0,-646.6682847127552,185,253.91993594169617,90112,0.017580317,2,2.6181226,0.012069467,490.0,0.017580317,0.0001316070556640625
415.44122,0.0,-644.4178459946764,187,256.4704022407532,91136,0.017099312,2,2.6943057,0.00992121,490.0,0.017099312,7.796287536621094e-05
429.71698,0.0,-641.4503012338653,189,259.0704298019409,92160,0.018110188,2,2.666898,0.009111706,490.0,0.018110188,2.2411346435546875e-05
440.92276,0.0,-638.9163248783909,191,261.65378522872925,93184,0.021214258,2,2.698697,0.011814695,490.0,0.021214258,-3.457069396972656e-05
451.9231,0.0,-637.6000171022955,193,264.25043392181396,94208,0.022005768,2,2.6118777,0.011335479,490.0,0.022005768,-2.5391578674316406e-05
462.9628,0.0,-635.4416496570223,196,266.7729570865631,95232,0.010515916,3,2.652865,0.0030791487,490.0,0.010515916,-9.179115295410156e-05
468.92218,0.0,-633.9099489384331,198,269.36199712753296,96256,0.019584376,2,2.5631433,0.009403263,490.0,0.019584376,-0.00011229515075683594
471.56085,0.0,-630.8412897741888,200,271.942999124527,97280,0.008340966,2,2.5557525,0.0041903756,490.0,0.008340966,-0.0001227855682373047
474.4699,0.0,-628.5519322786015,202,274.5386416912079,98304,0.019564789,2,2.6066399,0.010581882,490.0,0.019564789,-0.00019931793212890625
475.0694,0.0,-626.3344771611039,204,277.1374957561493,99328,0.017966634,2,2.6465342,0.00891806,490.0,0.017966634,-0.0002168416976928711
474.73096,0.0,-624.9266661169473,206,279.73973631858826,100352,0.008795623,2,2.6918547,0.0033522325,490.0,0.008795623,-0.0003904104232788086
472.2973,0.0,-622.6837368764449,208,282.31639647483826,101376,0.016744759,2,2.6490202,0.009275962,490.0,0.016744759,-0.0003141164779663086
